id,comment,expected
180,"This place is a must-visit, iconic landmark ng Mandaluyong.",Positive
225,Average experience overall.,Neutral
202,"Amazing view, breathtaking talaga ang lugar ????",Positive
219,"Maayos ang serbisyo, mabilis din ang staff.",Positive
183,"Okay lang, pwede na.",Neutral
237,ang panget pota,Negative
152,"Dirty and poorly maintained, hindi maganda ang imahe.",Negative
185,Very clean and well-maintained heritage site.,Positive
234,"Napakasaya ng bata ko dito, fun talaga!",Positive
60008,Di naman masyado maganda ayos lang,Neutral
90006,Not cleanliness,Negative
179,"Medyo ordinary lang, walang special.",Neutral
231,"Sobrang ganda ng tanawin dito, babalik ako ulit.",Positive
60002,Good daay emman,
60006,Hello emmanuel Good,
162,"Okay lang, pwede na.",Neutral
221,"Well organized ang event, professional ang staff.",Positive
214,"Well organized ang event, professional ang staff.",Positive
27,banban panget mo,Negative
270002,Maganda ba si emman,
249,okay lang medjo maayos,Neutral
246,okay lang wala namang bago sakto lang,Neutral
120002,Maganda at di ko nagustuhan,Negative
150002,Maganda siya my di lang  okay,Negative
240002,very neat in the inside but sometimes it was dirty in the outside.,Negative
210,"Medyo ordinary lang, walang special.",Neutral
195,"Amazing view, breathtaking talaga ang lugar ????",Positive
146,"Run-down na ang building, kailangan na ng renovation.",Negative
204,"Sobrang ganda ng tanawin dito, babalik ako ulit.",Positive
135,"Sulit na sulit ang bayad, worth every peso.",Positive
181,"Sobrang ganda ng tanawin dito, babalik ako ulit.",Positive
227,"Dirty and poorly maintained, hindi maganda ang imahe.",Negative
239,"okay lang, ang panget",Negative
187,"Napakadumi ng paligid, kailangan ng cleanup.",Negative
251,"Sakto lang, pwede na",Neutral
191,"Nakakastress ang biyahe papunta dito, magulo ang daan.",Negative
150,Very clean and well-maintained heritage site.,Positive
210002,Hello magandang umaga idol,
270004,good ambiance,Positive
153,"Peaceful and quiet, perfect for reflection.",Positive
178,"Run-down na ang building, kailangan na ng renovation.",Negative
170,"Sobrang ganda ng tanawin dito, babalik ako ulit.",Positive
205,"Peaceful and quiet, perfect for reflection.",Positive
211,"Excellent service, courteous and punctual ang mga tao.",Positive
210004,Idol pa notice,
137,"Peaceful and quiet, perfect for reflection.",Positive
142,"Sobrang crowded, hindi na kasya ang mga bisita.",Negative
30004,New data sets,
173,"Disappointing experience, hindi ko rekomendado.",Negative
235,sobrang ganda tangina,Positive
217,"Maayos ang serbisyo, mabilis din ang staff.",Positive
10258,good abiance,Positive
223,Mahina ang signal at walang malinaw na signage.,Negative
29,i love the safety,Positive
171,"Peaceful and quiet, perfect for reflection.",Positive
206,Very clean and well-maintained heritage site.,Positive
175,"Bastos ang guard, hindi ako babalik dito.",Negative
172,"Maganda ang lugar, accessible din sa commute.",Positive
139,"Sobrang dumi ng banyo, nakakadiri.",Negative
209,"Waste of time and money, hindi worth it.",Negative
228,"This place is a must-visit, iconic landmark ng Mandaluyong.",Positive
199,"Okay lang, pwede na.",Neutral
207,"Napakasaya ng bata ko dito, fun talaga!",Positive
192,"Ang friendly ng staff, helpful sila lahat.",Positive
230,"Disappointing experience, hindi ko rekomendado.",Negative
10256,"Okay lang naman, wala namang bago. Sakto lang.",Neutral
189,"Mabait ang mga tao dito, napakaasikaso.",Positive
208,"Sulit na sulit ang bayad, worth every peso.",Positive
24,shit tanginamo,Negative
222,"Okay lang, pwede na.",Neutral
212,"Amazing view, breathtaking talaga ang lugar ????",Positive
164,"Maganda ang lugar, accessible din sa commute.",Positive
176,Solid trip! Would recommend to friends and family.,Positive
270006,sira sira ang mga puntod,Negative
161,"Maayos ang serbisyo, mabilis din ang staff.",Positive
151,"This place is a must-visit, iconic landmark ng Mandaluyong.",Positive
3,bad so many bullying,Negative
143,"Stunning architecture, kaayaaya sa mata.",Positive
140,"Grabe ang ganda, picturesque talaga dito ????",Positive
233,"It's fine, nothing extraordinary but not bad either.",Neutral
